name	mean_price_str	address	lat	lon	mean_price_num	type
La Maree, ресторан	Средний чек 7000 р	Санкт-Петербург, Суворовский проспект, 34	59.9404041	30.3780812	7000	restaurant
La Presse, ресторан	Средний чек 1000 р	Санкт-Петербург, Невский проспект, 69	59.931648	30.3545043	1000	restaurant
Лехаим, ресторан	Средний чек 500 р	Санкт-Петербург, Лермонтовский проспект, 2	59.9137953	30.297322	500	restaurant
Восточный, ресторан	Средний чек 600 р	Санкт-Петербург, Марата, 60	59.9313381	30.3550117	600	restaurant
Лео, бар-ресторан	Средний чек 700 р	Санкт-Петербург, Байконурская, 13 к2	60.0024554	30.2758054	700	restaurant
Летучий Голландец, ресторан	Средний чек 3000 р	Санкт-Петербург, Мытнинская набережная, 6	59.94779775	30.3057281653173	3000	restaurant
Ля Мур, ресторанный комплекс	Средний чек 1000 р	Санкт-Петербург, Испытателей проспект, 4 к1	60.00202895	30.30196028127	1000	restaurant
Лесной, ресторан	Средний чек 1000 р	Санкт-Петербург, Лесной проспект, 48	59.9816909	30.342042424805	1000	restaurant
Ланкастер Корт, отель	Средний чек 1000 р	Санкт-Петербург, Фокина, 3	59.9664622	30.3389198767468	1000	restaurant
Лира-Престо, ресторан	Средний чек 1000 р	Санкт-Петербург, Днепропетровская, 57	59.9120605	30.3582568	1000	restaurant
Любимый, семейный ресторан	Средний чек 1500 р	Санкт-Петербург, Индустриальный проспект, 40/1	59.9478204	30.4750438	1500	restaurant
Метрополь, ресторанный комплекс	Средний чек 2000 р	Санкт-Петербург, Садовая, 22/2	59.9328606	30.3343413	2000	restaurant
La Mia Firenze, ресторан	Средний чек 1200 р	Санкт-Петербург, Чернышевского проспект, 9	59.9444965	30.3595573	1200	restaurant
Мечта Молоховецъ, ресторан	Средний чек 3000 р	Санкт-Петербург, Радищева, 10	59.7096388	30.4087130334128	3000	restaurant
Маша и Медведь, трактир	Средний чек 800 р	Санкт-Петербург, Малая Садовая, 1	59.9356239	30.3378648	800	restaurant
